Google search term,Result,Matrix
Mammalia,1,GS2014-BL
Mammalia,2,MB1045
Mammalia,3,MB929
Mammalia,4,MB891
Mammalia,5,GS2011-GP
Mammalia,6,MB458
Mammalia,7,GS2012-BF
Mammalia,8,NA
Mammalia,9,GS2013-RB
Mammalia,10,NA
Mammalia,11,MB773
Mammalia,12,NA
Mammalia,13,NA
Mammalia,14,GS2013-BC
Mammalia,15,NA
Mammalia,16,NA
Mammalia,17,GS2014-OL
Mammalia,18,NA
Mammalia,19,GS2012-SR
Mammalia,20,GS2014-PT
Monotremata,1,MB696
Monotremata,2,GS2014-OT
Monotremata,3,NA
Monotremata,4,MB739
Monotremata,5,GS2013-S
Monotremata,6,NA
Monotremata,7,NA
Monotremata,8,NA
Monotremata,9,MB773
Monotremata,10,MB929
Monotremata,11,NA
Monotremata,12,NA
Monotremata,13,NA
Monotremata,14,MB750
Monotremata,15,NA
Monotremata,16,NA
Monotremata,17,GS2012-RW
Monotremata,18,MB691
Monotremata,19,GS2014-KH
Monotremata,20,NA
Marsupialia,1,MB739
Marsupialia,2,MB696
Marsupialia,3,MB929
Marsupialia,4,NA
Marsupialia,5,NA
Marsupialia,6,NA
Marsupialia,7,NA
Marsupialia,8,NA
Marsupialia,9,MB773
Marsupialia,10,GS2013-MF
Marsupialia,11,NA
Marsupialia,12,GS2012-WB
Marsupialia,13,NA
Marsupialia,14,GS2011-ON
Marsupialia,15,NA
Marsupialia,16,MB691
Marsupialia,17,GS2011-FOS
Marsupialia,18,NA
Marsupialia,19,GS2011-GP
Marsupialia,20,NA
Placentalia,1,GS2014-BL
Placentalia,2,MB773
Placentalia,3,NA
Placentalia,4,NA
Placentalia,5,MB891
Placentalia,6,MB773
Placentalia,7,GS2012-BF
Placentalia,8,MB316
Placentalia,9,MB458
Placentalia,10,NA
Placentalia,11,NA
Placentalia,12,MB929
Placentalia,13,GS2013-BC
Placentalia,14,NA
Placentalia,15,NA
Placentalia,16,NA
Placentalia,17,GS2014-RH
Placentalia,18,NA
Placentalia,19,GS2013-L
Placentalia,20,GS2011-GP
Macroscelidea,1,GS2013-BC
Macroscelidea,2,MB697
Macroscelidea,3,NA
Macroscelidea,4,GS2014-CS
Macroscelidea,5,NA
Macroscelidea,6,NA
Macroscelidea,7,NA
Macroscelidea,8,GS2013-MF
Macroscelidea,9,NA
Macroscelidea,10,GS2013-BO
Macroscelidea,11,GL2013-BA
Macroscelidea,12,NA
Macroscelidea,13,MB773
Macroscelidea,14,GS2012-HR
Macroscelidea,15,NA
Macroscelidea,16,MB1153
Macroscelidea,17,GS2014-AB
Macroscelidea,18,GS2013-DB
Macroscelidea,19,MB443
Macroscelidea,20,GS2007-S
Afrosoricida,1,MB697
Afrosoricida,2,GS2013-BC
Afrosoricida,3,MB773
Afrosoricida,4,NA
Afrosoricida,5,NA
Afrosoricida,6,GS2014-CS
Afrosoricida,7,MB929
Afrosoricida,8,NA
Afrosoricida,9,MB443
Afrosoricida,10,GS2010-SZ
Afrosoricida,11,GS2010-AM
Afrosoricida,12,NA
Afrosoricida,13,NA
Afrosoricida,14,NA
Afrosoricida,15,NA
Afrosoricida,16,NA
Afrosoricida,17,GS2013-CE
Afrosoricida,18,NA
Afrosoricida,19,NA
Afrosoricida,20,NA
Tubulidentata,1,GS2012-BF
Tubulidentata,2,GS2013-BC
Tubulidentata,3,GS2013-S
Tubulidentata,4,NA
Tubulidentata,5,MB697
Tubulidentata,6,MB773
Tubulidentata,7,NA
Tubulidentata,8,NA
Tubulidentata,9,NA
Tubulidentata,10,NA
Tubulidentata,11,NA
Tubulidentata,12,GS2014-CS
Tubulidentata,13,GS2013-M
Tubulidentata,14,NA
Tubulidentata,15,GS2011-D
Tubulidentata,16,GS2012-MG
Tubulidentata,17,GS2012-KK
Tubulidentata,18,MB773
Tubulidentata,19,NA
Tubulidentata,20,NA
Hyracoidea,1,GS2013-BC
Hyracoidea,2,MB779
Hyracoidea,3,GS2010-BS
Hyracoidea,4,GS2014-CS
Hyracoidea,5,GL2013-BA
Hyracoidea,6,NA
Hyracoidea,7,NA
Hyracoidea,8,MB571
Hyracoidea,9,GS2010-SS
Hyracoidea,10,GS2007-S
Hyracoidea,11,MB1153
