name,Source,Cite
Gl1988-GH,Graeme T Lloyd,"Gentry, A. W. and Hooker, J. J., 1988. The phylogeny of the Artiodactyla. In M. J. Benton (ed.) The Phylogeny and Classification of the Tetrapods, Volume 2: Mammals. Clarendon Press, Oxford, p235-272."
GL1989-H,Graeme T Lloyd,"Hooker, J. J., 1989. Character polarities in early perissodactyls and their significance for Hyracotherium and infraordinal relationships. In D. R. Prothero and R. M. Schoch (eds.) The Evolution of Perissodactyls. Oxford University Press, Oxford, p79-101."
GL1992-T,Graeme T Lloyd,"Thewissen, J. G. M., 1992. Temporal data in phylogenetic systematics: an example from the mammalian fossil record. Journal of Paleontology, 66, 1-8."
GL1994-B,Graeme T Lloyd,"Berta, A., 1994. A new species of phocoid pinniped Pinnarctidion from the early Miocene of Oregon. Journal of Vertebrate Paleontology, 14, 405-413."
GL1995-A,Graeme T Lloyd,"Alroy, J., 1995. Continuous Track Analysis: a new phylogenetic and biogeographic method. Systematic Biology, 44, 152-178."
GL1995-G,Graeme T Lloyd,"Gaudin, T. J., 1995. The ear region of Edentates and the phylogeny of the Tardigrada (Mammalia, Xenarthra). Journal of Vertebrate Paleontology, 15, 672-705."
GL1996-P,Graeme T Lloyd,"Polly, P. D., 1996. The skeleton of Gazinocyon vulpeculus gen. et comb. nov. and the cladistic relationships of Hyaenodontidae (Eutheria, Mammalia). Journal of Vertebrate Paleontology, 16, 303-319."
GL1998-DM,Graeme T Lloyd,"Dashzeveg, D. and Meng, J., 1998. New Eocene ctenodactyloid rodents from the eastern Gobi Desert of Mongolia and a phylogenetic analysis of ctenodactyloids based on dental features. American Museum Novitates, 3246, 1-20."
GL2001-AA,Graeme T Lloyd,"Archibald, J. D., Averianov, A. O. and Ekdale, E. G., 2001. Late Cretaceous relatives of rabbits, rodents, and other extant eutherian mammals. Nature, 414, 62-65."
GL2001-G,Graeme T Lloyd,"Geisler, J. H., 2001. New morphological evidence for the phylogeny of Artiodactyla, Cetacea, and Mesonychidae. American Museum Novitates, 3344, 1-53."
GL2001-H,Graeme T Lloyd,"Holbrook, L. T., 2001. Comparative osteology of early Tertiary tapiromorphs (Mammalia, Perissodactyla). Zoological Journal of the Linnean Society, 132, 1-54."
GL2001-TW,Graeme T Lloyd,"Thewissen, J. G. M., Williams, E. M., Roe, L. J. and Hussain, S. T., 2001. Skeletons of terrestrial cetaceans and the relationship of whales to artiodactyls. Nature, 413, 277-281."
GL2003-HK,Graeme T Lloyd,"Hand, S. J. and Kirsch, J. A. W., 2003. Archerops, a new annectent hipposiderid genus (Mammalia: Microchiroptera) from the Australian Miocene. Journal of Paleontology, 77, 1139-1151."
GL2004-H,Graeme T Lloyd,"Hopkins, S. S. B., 2004. Phylogeny and biogeography of the genus Ansomys Qiu, 1987 (Mammalia: Rodentia: Aplodontidae) and description of a new species from the Barstovian (mid-Miocene) of Montana. Journal of Paleontology, 78, 731-740."
GL2004-LB,Graeme T Lloyd,"Lihoreau, F., Blondel, C., Barry, J. and Brunet, M., 2004. A new species of the genus Microbunodon (Anthracotheriidae, Artiodactyla) from the Miocene of Pakistan: genus revision, phylogenetic relationships and palaeobiogeography. Zoologica Scripta, 33, 97-115."
GL2005-B,Graeme T Lloyd,"Boisserie, J.-R., 2005. The phylogeny and taxonomy of Hippopotamidae (Mammalia: Artiodactyla): a review based on morphology and cladistic analysis. Zoological Journal of the Linnean Society, 143, 1-26."
GL2006-LA,Graeme T Lloyd,"Lopez-Antonanzas, R. and Sen, S., 2006. New Saudi Arabian Miocene jumping mouse (Zapodidae): systematics and phylogeny. Journal of Vertebrate Paleontology, 26, 170-181."
GL2007-RM,Graeme T Lloyd,"Rougier, G. W., Martinelli, A. G., Forasiepi, A. M. and Novacek, M. J., 2007. New Jurassic mammals from Patagonia, Argentina: a reappraisal of australosphenidan morphology and interrelationships. American Museum Novitates, 3566, 1-54."
GL2012-AA,Graeme T Lloyd,"Abella, J., Alba, D. M., Robles, J. M., Valenciano, A., Rotgers, C., Carmona, R., Montoya, P. and Morales, J., 2012. Kretzoiarctos gen. nov., the oldest member of the giant Panda clade. PLoS One, 7, e48985."
GL2012-WB,Graeme T Lloyd,"Williamson, T. E., Brusatte, S. L., Carr, T. D., Weil, A. and Standhardt, B. R., 2012. The phylogeny and evolution of Cretaceous‰ÛÒPalaeogene metatherians: cladistic analysis and description of new early Palaeocene specimens from the Nacimiento Formation, New Mexico. Journal of Systematic Palaeontology, 10, 625-651."
GL2013-BA,Graeme T Lloyd,"Benoit, J., Adnet, S., Mabrouk, E. E., Khayati, H., Ali, M. B. H., Marivaux, L., Merzeraud, G., Merigeaud, S., Vianey-Liaud, M. and Tabuce, R., 2013. Cranial remain from Tunisia provides new clues for the origin and evolution of Sirenia (Mammalia, Afrotheria) in Africa. PLoS One, 8, e54307."
GL2013-CR,Graeme T Lloyd,"Castro, M. C., Ribeiro, A. M., Ferigolo, J. and Langer, M. C., 2013. Redescription of Dasypus punctatus Lund, 1840 and considerations on the genus Propraopus Ameghino, 1881 (Xenarthra, Cingulata). Journal of Vertebrate Paleontology, 33, 434-447."
