"","Matrix","Taxa","Characters","Living","Source","Tax.level"
"4","GL1988-GH.nex","Tayassuidae","116","TRUE","Wilson & Reeder","Family"
"5","GL1988-GH.nex","Suidae","116","TRUE","Wilson & Reeder","Family"
"15","GL1988-GH.nex","Hippopotamidae","116","TRUE","Wilson & Reeder","Family"
"27","GL1988-GH.nex","Camelidae","116","TRUE","Wilson & Reeder","Family"
"40","GL1988-GH.nex","Tragulidae","116","TRUE","Wilson & Reeder","Family"
"90","GL1994-B.nex","Odobenidae","40","TRUE","Wilson & Reeder","Family"
"92","GL1994-B.nex","Otariidae","40","TRUE","Wilson & Reeder","Family"
"97","GL1994-B.nex","Phocidae","40","TRUE","Wilson & Reeder","Family"
"115","GL1995-G.nex","Pholidota","85","TRUE","Wilson & Reeder","Order"
"120","GL1995-G.nex","Dasypodidae","85","TRUE","Wilson & Reeder","Family"
"121","GL1995-G.nex","Cyclopes","85","TRUE","Wilson & Reeder","Genus"
"130","GL1995-G.nex","Choloepus","85","TRUE","Wilson & Reeder","Genus"
"133","GL1995-G.nex","Megalonyx","85","TRUE","Wilson & Reeder","Species"
"134","GL1995-G.nex","Bradypus","85","TRUE","Wilson & Reeder","Genus"
"213","GL2001-G.nex","Canis","186","TRUE","Wilson & Reeder","Genus"
"215","GL2001-G.nex","Rattus_norvegicus","186","TRUE","Fritz Tree","Species"
"216","GL2001-G.nex","Orycteropus_afer","186","TRUE","Fritz Tree","Species"
"218","GL2001-G.nex","Delphinapterus","186","TRUE","Wilson & Reeder","Genus"
"219","GL2001-G.nex","Tursiops","186","TRUE","Wilson & Reeder","Genus"
"220","GL2001-G.nex","Balaenoptera","186","TRUE","Wilson & Reeder","Genus"
"243","GL2001-G.nex","Tragulus","186","TRUE","Wilson & Reeder","Genus"
"244","GL2001-G.nex","Bos_taurus","186","TRUE","Fritz Tree","Species"
"246","GL2001-G.nex","Odocoileus","186","TRUE","Wilson & Reeder","Genus"
"252","GL2001-G.nex","Camelus","186","TRUE","Wilson & Reeder","Genus"
"253","GL2001-G.nex","Lama","186","TRUE","Wilson & Reeder","Genus"
"262","GL2001-G.nex","Sus_scrofa","186","TRUE","Fritz Tree","Species"
"263","GL2001-G.nex","Hexaprotodon","186","TRUE","Wilson & Reeder","Genus"
"264","GL2001-G.nex","Hippopotamus","186","TRUE","Wilson & Reeder","Genus"
"273","GL2001-G.nex","Equus","186","TRUE","Wilson & Reeder","Genus"
"287","GL2001-H.nex","Tapirus","30","TRUE","Wilson & Reeder","Genus"
"320","GL2001-TW.nex","Hippopotamus","105","TRUE","Wilson & Reeder","Genus"
"321","GL2001-TW.nex","Hexaprotodon","105","TRUE","Wilson & Reeder","Genus"
"325","GL2001-TW.nex","Tragulus","105","TRUE","Wilson & Reeder","Genus"
"330","GL2003-HK.nex","Anthops_ornatus","64","TRUE","Fritz Tree","Species"
"332","GL2003-HK.nex","Asellia_tridens","64","TRUE","Fritz Tree","Species"
"333","GL2003-HK.nex","Aselliscus_tricuspidatus","64","TRUE","Fritz Tree","Species"
"336","GL2003-HK.nex","Cloeotis_percivali","64","TRUE","Fritz Tree","Species"
"337","GL2003-HK.nex","Coelops_frithi","64","TRUE","Wilson & Reeder","Species"
"338","GL2003-HK.nex","Coelops_robinsoni","64","TRUE","Fritz Tree","Species"
"339","GL2003-HK.nex","Hipposideros_armiger","64","TRUE","Fritz Tree","Species"
"340","GL2003-HK.nex","Hipposideros_ater","64","TRUE","Fritz Tree","Species"
"341","GL2003-HK.nex","Hipposideros_bernardsigei","64","TRUE","Wilson & Reeder","Genus"
"342","GL2003-HK.nex","Hipposideros_caffer","64","TRUE","Fritz Tree","Species"
"343","GL2003-HK.nex","Hipposideros_calcaratus","64","TRUE","Fritz Tree","Species"
"344","GL2003-HK.nex","Hipposideros_cervinus","64","TRUE","Fritz Tree","Species"
"345","GL2003-HK.nex","Hipposideros_commersoni","64","TRUE","Fritz Tree","Species"
"346","GL2003-HK.nex","Hipposideros_corynophyllus","64","TRUE","Fritz Tree","Species"
"347","GL2003-HK.nex","Hipposideros_cyclops","64","TRUE","Fritz Tree","Species"
"348","GL2003-HK.nex","Hipposideros_diadema","64","TRUE","Fritz Tree","Species"
"349","GL2003-HK.nex","Hipposideros_fulvus","64","TRUE","Fritz Tree","Species"
"350","GL2003-HK.nex","Hipposideros_lankadiva","64","TRUE","Fritz Tree","Species"
"351","GL2003-HK.nex","Hipposideros_larvatus","64","TRUE","Fritz Tree","Species"
"352","GL2003-HK.nex","Hipposideros_lylei","64","TRUE","Fritz Tree","Species"
"353","GL2003-HK.nex","Hipposideros_maggietaylorae","64","TRUE","Fritz Tree","Species"
"354","GL2003-HK.nex","Hipposideros_muscinus","64","TRUE","Fritz Tree","Species"
"355","GL2003-HK.nex","Hipposideros_papua","64","TRUE","Fritz Tree","Species"
"356","GL2003-HK.nex","Hipposideros_pratti","64","TRUE","Fritz Tree","Species"
"357","GL2003-HK.nex","Hipposideros_ruber","64","TRUE","Fritz Tree","Species"
"358","GL2003-HK.nex","Hipposideros_semoni","64","TRUE","Fritz Tree","Species"
"359","GL2003-HK.nex","Hipposideros_speoris","64","TRUE","Fritz Tree","Species"
"360","GL2003-HK.nex","Hipposideros_turpis","64","TRUE","Fritz Tree","Species"
"361","GL2003-HK.nex","Hipposideros_wollastoni","64","TRUE","Fritz Tree","Species"
"368","GL2003-HK.nex","Triaenops_persicus","64","TRUE","Fritz Tree","Species"
"370","GL2003-HK.nex","Rhinolophus_simulator","64","TRUE","Fritz Tree","Species"
"371","GL2003-HK.nex","Rhinolophus_megaphyllus","64","TRUE","Fritz Tree","Species"
"372","GL2003-HK.nex","Rhinolophus_affinis","64","TRUE","Fritz Tree","Species"
"394","GL2005-B.nex","Hexaprotodon_mingoz","37","TRUE","Wilson & Reeder","Genus"
"395","GL2005-B.nex","Hexaprotodon_mingoz_cf","37","TRUE","Wilson & Reeder","Genus"
"396","GL2005-B.nex","Hexaprotodon_bruneti","37","TRUE","Wilson & Reeder","Genus"
"397","GL2005-B.nex","Hexaprotodon_harvardi","37","TRUE","Wilson & Reeder","Genus"
"398","GL2005-B.nex","Hexaprotodon_protamphibius_cf","37","TRUE","Wilson & Reeder","Genus"
"399","GL2005-B.nex","Hexaprotodon_protamphibius","37","TRUE","Wilson & Reeder","Genus"
"400","GL2005-B.nex","Hexaprotodon_karumensis","37","TRUE","Wilson & Reeder","Genus"
"401","GL2005-B.nex","Hexaprotodon_aethiopicus","37","TRUE","Wilson & Reeder","Species"
"402","GL2005-B.nex","Hexaprotodon_sivalensis","37","TRUE","Wilson & Reeder","Genus"
"403","GL2005-B.nex","Hexaprotodon_palaeindicus","37","TRUE","Wilson & Reeder","Genus"
"404","GL2005-B.nex","Hexaprotodon_afarensis","37","TRUE","Wilson & Reeder","Genus"
"405","GL2005-B.nex","Hippopotamus_amphibius","37","TRUE","Fritz Tree","Species"
"406","GL2005-B.nex","Hippopotamus_gorgops","37","TRUE","Wilson & Reeder","Genus"
"407","GL2005-B.nex","Hexaprotodon_liberiensis","37","TRUE","Fritz Tree","Species"
