Taxon	Characters
1	2	3	4	5	6	7	8	9	10
Procavia capensis	0	0	0	0	0	0	0	0	0	0
Phophatherium escuillei	0	0	0	0	0	0	0	0	0	0
Numidotherium koholense	0	0	0	0	0	1	0	0	0	0
Barytherium grave	0	0	0	0	0	1	0	0	0	0
Moeritherium trigodon	0	0	0	0	0	0	0	0	0	1
Prodeinotherium hobley	0	1	0	0	0	0	0	0	0	0
Phiomia serridens	0	0	0	0	0	0	1	0	0	0
Mammut americanum	1	1	1	1	1	0	1	0	0	0
Gomphotherium angustidens	1	1	1	1	1	0	1	0	0	0
Anancus arvernensis	1	1	1	1	1	0	1	0	0	0
Loxodonta africana	1	1	1	2	2	0	2	1	0	0
Elephas planifrons	1	1	1	2	2	0	2	1	0	0
Elephas maximus	1	1	1	2	2	0	2	1	1	0
Palaeoloxodon mnaidriensis	1	1	1	2	2	0	2	1	0	0
Mammuthus meridionalis	1	1	1	2	2	0	2	1	3	0
Mammuthus primigenius	2	1	1	2	2	0	2	1	4	0
