Characters 0–19 20–40
Protungulatum donnae
0000100340000011??00 0100000202?000?????00
Molinodus suarezi
000?0003101001131101 010101111000011100010
Tiuclaenus minutus
00000000101001031001 110001111002211000010
Pucanodus gagnieri
00000000101001031001 010001[01]11112211000010
Simoclaenus sylvaticus
???0003401001111001 010101101210011100010
Andinodus boliviensis
???????????????????? ?????
1111102211000010
Escribania chubutensis
????311350111011112 11???1100100021001120
Escribania talonicuspis
???????????????????? ?????1???????01011?20
Lamegoia conodonta
1110210010111031122 11?1110001?0??????0?0
Paulacoutoia protocenica
11102101001111031112 110111001200020000100
Didolodus multicuspis
11112102321111[02]00122 101111000101120100100
Didolodus minor
11122?02321111[02]00122 ?0?1110001?11?????1?0
Didolodus magnus
????2102?21112000122 10???10001????????1?0
Paulogervaisia inusta
????210??11012001122 12?1110???100?????100
Ernestokokenia nitida
????210120101[12]221122 11???1021200020102100
Ernestokokenia chaishoer
????2?01?01011201122 ?1???10201000?????1?0
Ernestokokenia yirunhor
?????10?201011201102 ?1???10201?0?2000?100
Raulvaccia peligrensis
????3?11?01112010112 ?1???100010?000111120
Umayodus raimondi
???????????????????? ?????1???????00111?22
Phenacodus primaevus
1211200[01][12]11213231102 000112000210000000101
