Taxon	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Caluromys 	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	?	0	0	0	0	0	0	0	0
† Ukhaatherium 	0	0	0	0	1	0	0	0	1	?	?	?	0	0	?	?	?	?	?	1	0	0	1	?	?
† Kulbeckia 	0	0	0	0	1	0	1&2	0	0	1	1	0	1	0	?	?	?	?	?	0&1	0	0	1	?	?
† Zalambdalestes 	0	0	0	0	1	0	1	0	0	1	1	1	1	0	?	?	?	?	?	1	0	0	1	0	?
† Chilecebus 	0	0	1	0	0	0	0	0	0	?	?	?	1	0	1	1	?	0	1	?	0	1	?	?	?
† Hyopsodus 	0	1	0	0	0	0	0	0	0	?	1	?	1	0	0	?	?	1	0	?	0	0	?	1	?
†MNHN-F-BRD 23	0	0	0	0	0	0	0	0	0	1	1	1	1	1	?	?	1	0	1	0	0	0	0	0	0
† Notostylops 	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0
† Altitypotherium 	0	0	1	0	1	1	2	0	0	1	1	1	0	2	1	0	0	?	?	1	0	1	0	0	?
† Pachyrukhos 	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	?	1	1	0	0	1
† Cochilius 	1	1	0	0	0	1	0	1	1	?	?	?	1	0	1	1	?	?	?	?	0	1	?	?	?
