Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species
MONOTREMATA,,,,,,,,,
MONOTREMATA,,,,Tachyglossidae,,,,,
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,attenboroughi
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bruijni
MONOTREMATA,,,,Ornithorhynchidae,,,,,
MONOTREMATA,,,,Ornithorhynchidae,,,Ornithorhynchus,,
MONOTREMATA,,,,Ornithorhynchidae,,,Ornithorhynchus,,anatinus
DIDELPHIMORPHIA,,,,,,,,,
DIDELPHIMORPHIA,,,,Didelphidae,,,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromysiops,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromysiops,,irrupta
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Glironia,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Glironia,,venusta
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,albiventris
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,aurita
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,imperfecta
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,marsupialis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,marsupialis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,marsupialis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,pernigra
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,aceramarcae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,agilis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,agricolai
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,dryas
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,emiliae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,formosus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,ignitus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,marica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,microtarsus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,microtarsus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,microtarsus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Hyladelphys,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Hyladelphys,,kalinowskii
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lestodelphys,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lestodelphys,,halli
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,crassicaudata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,crassicaudata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,crassicaudata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,andersoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,lepida
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,murina
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,quichua
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,rubra
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,tyleriana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,xerophila
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,bishopi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,cracens
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,dorothea
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,handleyi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,impavidus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,incanus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,invictus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,juninensis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,neblina
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,noctivagus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,parvidens
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,paulensis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,pinheiroi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus
