occurrence.genus_name,occurrence.species_name
Peratherium,sp._1
Amphiperatherium,maximum
Pantrogna,sp._1
Buxolestes,sp._1
Saturninia,sp._1
Nannopithex,zuccolae
Hyracotherium,leporinum
Georgiacetus,vogtlensis
Pezosiren,portelli
Hyrachyus,affinis
Protosiren,sp.
Protosiren,sp.
Cynthiacetus,maxwelli
Antarctodolops,sp.
Basilotritus,wardii
Basilotritus,wardii
Saturninia,tobieni
Dichodon,cervinus
Treposciurus,gardneri
Cynodictis,lacustris
Dichobune,leporina
Anoplotherium,laurillardi
Amphiperatherium,sp._A
Tarnomys,sp.
Ectropomys,exiguus
Isoptychus,sp.
Gliravus,devoogdi
Suevosciurus,ehingensis
Plagiolophus,annectens
Protoadapis,ulmensis
Cryptopithecus,sp.
Saturninia,tobieni
Treposciurus,gardneri
Cynodictis,lacustris
Saturninia,gracilis
Amphiperatherium,sp._B
Thalerimys,fordi
Amphiperatherium,sp._A
Tarnomys,sp.
Ectropomys,exiguus
Isoptychus,sp.
Gliravus,devoogdi
Plagiolophus,annectens
Protoadapis,ulmensis
Cryptopithecus,sp.
Saturninia,tobieni
Amphiperatherium,sp._B
Choeropotamus,parisiensis
Suevosciurus,fraasi
Eotalpa,anglica
Kogaionon,ungureanui
Zhangheotherium,quinquecuspidens
Barunlestes,butleri
Basilosaurus,drazindai
Enaliarctos,mealsi
Argyrocetus,joaquinensis
Pinnarctidion,bishopi
Argyrocetus,bakersfieldensis
Anchitherium,sp.
Hesperhys,sp.
Rostriamynodon,grangeri
Ellobius,tsharynensis
Villanyia,petenyi
Mimomys,haplodentatus
Listriodon,pentapotamiae
Conohyus,sindiensis
Sivacanthion,complicates
Kanisamys,sp.
Sivaladapis,palaeindicus
Sivapithecus,indicus
Sivapithecus,sivalensis
Sivapithecus,simonsi
Dissopsalis,sp.
Amphicyon,sp.
Viverra,chinjiensis
Eomellivora,sp.
Vishnufelis,sp.
Prodeinotherium,sp.
Gomphotherium,sp.
Tetralophodon,sp.
Brachypotherium,perimense
Chilotherium,sp.
Gaindatherium,browni
Chalicotherium,sp.
Helicoportax,tragelaphoides
Helicoportax,praecox
Protragocerus,gluten
Kubanotragus,sokolovi
Dorcabune,anthracotheroides
Dorcabune,sp.
Dorcatherium,minus
Dorcatherium,sp._1
Dorcatherium,sp._2
Anthracotherium,punjabiense
Hemimeryx,pusillus
Hippopotamodon,haydeni
Giraffokeryx,punjabiensis
Giraffa,priscilla
Progiraffa,sp.
Listriodon,sp.
Lufengpithecus,lufengensis
Laccopithecus,robustus
Indarctos,atticus
Protursus,sp.
Proputorius,lufengensis
Sivaonyx,bathygnathus
Lutra,sp.
Ictitherium,gaudryi
Gomphotherium,sp.
Tetralophodon,exoletus
Zygolophodon,lufengensis
Hipparion,nagriensis
Chilotherium,sp.
Aceratherium,sp.
Chalicotherium,salinum
Tapirus,sp.
Hyotherium,sp.
Hyotherium,palaeochoerus
Lophochoerus,lufengensis
Potamochoerus,spp.
Dorcabune,progressus
Moschus,sp.
Dicrocerus,sp.
Metacervulus,simplex
Metacervulus,sp.
Muntiacus,nanus
Muntiacus,sp.
Selenoportax,sp.
Galerix,sp.
Lanthanotherium,sp.
Crocidura,sp.
Blarinella,sp.
Anourosorex,sp.
Myotis,sp.
Eptesicus,sp.
Pipistrellus,sp.
Plecotus,sp.
Alilepus,longisinuosus
Callosciurus,sp.
Tamiops,sp.
Dremomys,sp.
Albanensia,sp.
Sciurotamias,sp.
Forsythia,sp.
Hylopetes,sp.
Monosaulax,sp.
Platacanthomys,sp.
Typhlomys,sp.
Leptodontomys,sp.
Brachyrhizomys,nagrii
Brachyrhizomys,pilgrimi
Brachyrhizomys,tetracharax
Neocricetodon,sp.
Mus,sp.
Parapodemus,sp.
Parapelomys,sp.
Hystrix,sp.
Ursavus,depereti
Macaca,sp.
Potamochoerus,salinus
Dorcatherium,minus
Palaeomeryx,sp.
Antilospira,sp.
Neocricetodon,sp.
Sinoadapis,carnosus
Indarctos,sp.
Martes,paleosinensis
Martes,sp.
Eomellivora,wimani
Proputorius,sp.
Viverra,sp.
Ictitherium,sp.
Felis,sp.
Gomphotherium,sp.
Hipparion,sp.
Chalicotherium,sp.
Dorcatherium,sp.
Sinoadapis,carnosus
Machairodus,fires
Metailurus,sp.
Sivapithecus,sp.
Sivapithecus,sp.
Hipparion,gracile
Sus,erymanthius
Drepanodon,sp.
Rhinoceros,sp.
Sivapithecus,indicus
Camelus,sp.
