Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies
MONOTREMATA,,,,,,,,,,
MONOTREMATA,,,,Tachyglossidae,,,,,,
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,,
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus,
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus,aculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus,acanthion
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus,lawesii
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus,multiaculeatus
MONOTREMATA,,,,Tachyglossidae,,,Tachyglossus,,aculeatus,setosus
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,,
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,attenboroughi,
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni,
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni,bartoni
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni,clunius
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni,diamondi
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bartoni,smeenki
MONOTREMATA,,,,Tachyglossidae,,,Zaglossus,,bruijni,
MONOTREMATA,,,,Ornithorhynchidae,,,,,,
MONOTREMATA,,,,Ornithorhynchidae,,,Ornithorhynchus,,,
MONOTREMATA,,,,Ornithorhynchidae,,,Ornithorhynchus,,anatinus,
DIDELPHIMORPHIA,,,,,,,,,,
DIDELPHIMORPHIA,,,,Didelphidae,,,,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,derbianus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,aztecus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,centralis
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,fervidus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,nauticus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,derbianus,pallidus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,lanatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,cicur
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,nattereri
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,ochropus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,ornatus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Mallodelphys,lanatus,vitalinus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander,philander
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander,affinis
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander,dichurus
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromys,Caluromys,philander,trinitatis
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromysiops,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Caluromysiops,,irrupta,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Glironia,,,
DIDELPHIMORPHIA,,,,Didelphidae,Caluromyinae,,Glironia,,venusta,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus,minimus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus,argyrodytes
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus,langsdorffi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Chironectes,,minimus,panamensis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,albiventris,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,aurita,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,imperfecta,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,marsupialis,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,marsupialis,marsupialis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,marsupialis,caucae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,pernigra,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana,virginiana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana,californica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana,pigra
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Didelphis,,virginiana,yucatanensis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,aceramarcae,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,agilis,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,agricolai,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,dryas,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,emiliae,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,formosus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,ignitus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,marica,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,microtarsus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,microtarsus,microtarsus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Gracilinanus,,microtarsus,guahybae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Hyladelphys,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Hyladelphys,,kalinowskii,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lestodelphys,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lestodelphys,,halli,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,crassicaudata,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,crassicaudata,crassicaudata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Lutreolina,,crassicaudata,turneri
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,andersoni,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,lepida,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana,mexicana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana,mayensis
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,mexicana,savannarum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,murina,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,quichua,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,chapmani
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,fulviventer
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,grenadae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,isthmica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,luridavolta
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,ruatanica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,simonsi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,rubra,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,tyleriana,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,xerophila,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,bishopi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,cracens,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,dorothea,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,fuscatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,carri
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,perfuscus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,handleyi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,impavidus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,incanus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,invictus,
